source,target,days
1,7,4185
2,8,4195
2,510,5002
3,208,4730
4,5,4167
4,8,4195
4,9,4225
4,28,4308
4,105,4552
4,108,4558
6,19,4273
7,10,4226
7,15,4239
7,17,4253
7,18,4258
7,20,4274
7,21,4276
7,22,4281
7,25,4294
7,30,4310
7,31,4312
7,32,4314
7,34,4322
7,36,4336
7,38,4338
7,39,4344
7,41,4352
7,42,4352
7,43,4352
7,46,4352
7,51,4356
7,53,4372
7,56,4381
7,58,4392
7,65,4402
7,68,4406
7,72,4412
7,73,4416
7,76,4427
7,77,4432
7,79,4436
7,81,4443
7,92,4484
7,96,4506
7,97,4508
7,98,4517
7,99,4524
7,101,4533
7,102,4535
7,108,4558
7,111,4566
7,116,4574
7,126,4603
7,128,4609
7,129,4611
7,452,4812
8,13,4237
8,19,4273
8,24,4286
8,27,4307
8,33,4321
8,44,4352
8,49,4356
8,123,4599
10,15,4239
11,19,4273
12,19,4273
12,54,4379
12,130,4613
14,19,4273
16,46,4352
18,80,4436
18,104,4548
18,143,4659
18,208,4730
18,221,4734
19,23,4284
19,26,4304
19,35,4332
19,52,4359
19,60,4394
19,75,4426
19,78,4434
19,85,4452
19,93,4487
25,29,4308
29,46,4352
31,79,4436
36,64,4401
37,46,4352
37,51,4356
37,87,4466
38,362,4765
39,342,4760
40,64,4401
41,43,4352
43,45,4352
46,100,4531
47,101,4533
48,101,4533
50,57,4388
50,58,4392
50,108,4558
50,233,4737
50,356,4764
50,358,4764
51,65,4402
51,71,4409
51,90,4476
51,148,4663
55,71,4409
57,66,4402
57,67,4403
57,350,4763
58,61,4398
58,62,4399
58,67,4403
58,70,4408
58,314,4753
59,140,4652
59,145,4660
59,146,4661
59,150,4667
59,157,4685
59,167,4704
59,169,4706
59,177,4713
59,180,4715
59,184,4718
59,187,4720
59,188,4722
59,191,4723
59,193,4724
59,207,4730
59,212,4731
59,213,4732
59,214,4732
59,215,4732
59,219,4734
59,226,4736
59,227,4736
59,229,4737
59,232,4737
59,236,4738
59,237,4738
59,243,4739
59,245,4740
59,246,4740
59,256,4743
59,258,4743
59,264,4744
59,268,4746
59,273,4747
59,282,4749
59,284,4749
59,285,4750
59,290,4750
59,291,4750
59,292,4750
59,298,4751
59,305,4752
59,307,4752
59,310,4752
59,311,4752
59,312,4753
59,315,4754
59,316,4754
59,324,4756
59,326,4756
59,335,4758
59,339,4759
59,341,4760
59,346,4761
59,354,4763
59,355,4764
59,357,4764
59,359,4764
59,379,4769
59,384,4770
59,388,4772
59,392,4772
59,393,4772
59,394,4772
59,396,4773
59,409,4779
59,412,4780
59,425,4785
59,432,4791
59,439,4796
