node,days
1,3964
2,4024
3,4069
4,4106
5,4167
6,4174
7,4185
8,4195
9,4225
10,4226
11,4226
12,4232
13,4237
14,4238
15,4239
16,4253
17,4253
18,4258
19,4273
20,4274
21,4276
22,4281
23,4284
24,4286
25,4294
26,4304
27,4307
28,4308
29,4308
30,4310
31,4312
32,4314
33,4321
34,4322
35,4332
36,4336
37,4336
38,4338
39,4344
40,4352
41,4352
42,4352
43,4352
44,4352
45,4352
46,4352
47,4352
48,4352
49,4356
50,4356
51,4356
52,4359
53,4372
54,4379
55,4379
56,4381
57,4388
58,4392
59,4392
60,4394
61,4398
62,4399
63,4399
64,4401
65,4402
66,4402
67,4403
68,4406
69,4407
70,4408
71,4409
72,4412
73,4416
74,4419
75,4426
76,4427
77,4432
78,4434
79,4436
80,4436
81,4443
82,4443
83,4447
84,4448
85,4452
86,4461
87,4466
88,4475
89,4476
90,4476
91,4481
92,4484
93,4487
94,4494
95,4504
96,4506
97,4508
98,4517
99,4524
100,4531
101,4533
102,4535
103,4540
104,4548
105,4552
106,4553
107,4555
108,4558
109,4559
110,4561
111,4566
112,4569
113,4569
114,4571
115,4573
116,4574
117,4577
118,4580
119,4590
120,4592
121,4592
122,4596
123,4599
124,4601
125,4603
126,4603
127,4603
128,4609
129,4611
130,4613
131,4614
132,4615
133,4623
134,4629
135,4630
136,4638
137,4639
138,4643
139,4649
140,4652
141,4655
142,4658
143,4659
144,4659
145,4660
146,4661
147,4661
148,4663
149,4667
150,4667
151,4668
152,4669
153,4673
154,4673
155,4678
156,4682
157,4685
158,4686
159,4691
160,4692
161,4695
162,4699
163,4701
164,4702
165,4702
166,4703
167,4704
168,4706
169,4706
170,4711
171,4711
172,4712
173,4712
174,4712
175,4712
176,4713
177,4713
178,4714
179,4715
180,4715
181,4715
182,4718
183,4718
184,4718
185,4719
186,4720
187,4720
188,4722
189,4722
190,4723
191,4723
192,4724
193,4724
194,4724
195,4725
196,4726
197,4726
198,4727
199,4728
200,4728
201,4728
202,4729
203,4729
204,4729
205,4729
206,4730
207,4730
208,4730
209,4731
210,4731
211,4731
212,4731
213,4732
214,4732
215,4732
216,4733
217,4734
218,4734
219,4734
220,4734
221,4734
222,4734
223,4734
224,4735
225,4735
226,4736
227,4736
228,4736
229,4737
230,4737
231,4737
232,4737
233,4737
234,4737
235,4738
236,4738
237,4738
238,4738
239,4739
240,4739
241,4739
242,4739
243,4739
244,4740
245,4740
246,4740
247,4741
248,4741
249,4742
250,4742
251,4743
252,4743
253,4743
254,4743
255,4743
256,4743
257,4743
258,4743
259,4744
260,4744
261,4744
262,4744
263,4744
264,4744
265,4744
266,4745
267,4746
268,4746
269,4746
270,4746
271,4746
272,4747
273,4747
274,4748
275,4748
276,4748
277,4748
278,4748
279,4748
280,4749
281,4749
282,4749
283,4749
284,4749
285,4750
286,4750
287,4750
288,4750
289,4750
290,4750
291,4750
292,4750
293,4750
294,4751
295,4751
296,4751
297,4751
298,4751
299,4751
300,4751
301,4751
302,4751
303,4751
304,4752
305,4752
306,4752
307,4752
308,4752
309,4752
310,4752
311,4752
312,4753
313,4753
314,4753
315,4754
316,4754
317,4754
318,4755
319,4755
320,4755
321,4755
322,4756
323,4756
324,4756
325,4756
326,4756
327,4756
328,4756
329,4757
330,4757
331,4757
332,4757
333,4757
334,4758
335,4758
336,4759
337,4759
338,4759
339,4759
340,4759
341,4760
342,4760
343,4760
344,4761
345,4761
346,4761
347,4762
348,4762
349,4762
350,4763
351,4763
352,4763
353,4763
354,4763
355,4764
356,4764
357,4764
358,4764
359,4764
360,4764
361,4764
362,4765
363,4765
364,4765
365,4765
366,4766
367,4766
368,4766
369,4766
370,4766
371,4767
372,4768
373,4768
374,4769
375,4769
376,4769
377,4769
378,4769
379,4769
380,4770
381,4770
382,4770
383,4770
384,4770
385,4770
386,4771
387,4771
388,4772
389,4772
390,4772
391,4772
392,4772
393,4772
394,4772
395,4773
396,4773
397,4773
398,4774
399,4775
400,4776
401,4777
402,4777
403,4777
404,4777
405,4777
406,4778
407,4779
408,4779
409,4779
410,4779
411,4780
412,4780
413,4780
414,4780
415,4780
416,4780
417,4780
418,4781
419,4782
420,4782
421,4783
422,4784
423,4784
424,4784
425,4785
426,4785
427,4787
428,4788
429,4789
430,4790
431,4791
432,4791
433,4792
434,4792
435,4792
436,4793
437,4794
438,4794
439,4796
440,4798
441,4798
442,4798
443,4799
444,4799
445,4799
446,4799
447,4800
448,4801
449,4802
450,4806
451,4808
452,4812
453,4813
454,4815
455,4821
456,4823
457,4825
458,4826
459,4830
460,4834
461,4839
462,4846
463,4849
464,4849
465,4853
466,4855
467,4860
468,4861
469,4867
470,4876
471,4883
472,4896
473,4898
474,4902
475,4905
476,4905
477,4924
478,4924
479,4924
480,4929
481,4930
482,4930
483,4933
484,4933
485,4933
486,4934
487,4939
488,4939
489,4941
490,4941
491,4943
492,4948
493,4948
494,4949
495,4952
496,4952
497,4956
498,4957
499,4958
500,4962
501,4966
502,4968
503,4975
504,4979
505,4982
506,4988
507,4989
508,4993
509,5000
510,5002
511,5014
512,5014
513,5017
514,5017
515,5026
516,5027
517,5028
518,5028
519,5031
520,5033
521,5035
522,5036
523,5036
524,5042
525,5042
526,5044
527,5045
528,5046
529,5046
530,5046
531,5049
532,5049
533,5051
534,5058
535,5064
536,5065
537,5066
538,5072
539,5072
540,5072
541,5073
542,5074
543,5075
544,5077
545,5078
546,5083
547,5086
548,5086
549,5087
550,5089
551,5091
552,5093
553,5098
554,5098
555,5098
556,5099
557,5099
558,5102
559,5105
560,5110
561,5851
562,5439
563,5116
564,5118
565,5118
566,5119
567,5120
568,5122
569,5124
570,5127
571,5128
572,5131
573,5137
574,5137
575,5140
576,5143
577,5144
578,5147
579,5149
580,5151
581,5151
582,5154
583,5154
584,5155
585,5157
586,5159
587,5159
588,5173
589,5174
590,5174
591,5178
592,5179
593,5180
594,5181
595,5183
596,5188
597,5189
598,5202
599,5203
600,5208
601,5212
602,5217
603,5218
604,5222
605,5231
606,5255
607,5261
608,5267
609,5268
610,5272
611,5274
612,5276
613,5284
614,5284
615,5288
616,5288
617,5289
618,5289
619,5297
620,5303
621,5309
622,5310
623,5312
624,5312
625,5312
626,5314
627,5326
628,5326
629,5329
630,5330
631,5331
632,5335
633,5336
634,5336
635,5354
636,5356
637,5358
638,5360
639,5365
640,5366
641,5379
642,5379
643,5388
644,5389
645,5393
646,5397
647,5400
648,5408
649,5409
650,5420
651,5424
652,5429
653,5436
654,5438
655,5438
656,5440
657,5441
658,5442
659,5450
660,5451
661,5452
662,5455
663,5457
664,5462
665,5462
666,5464
667,5464
668,5469
669,5471
670,5473
671,5473
672,5478
673,5478
674,5483
675,5485
676,5485
677,5486
678,5488
679,5490
680,5491
681,5493
682,5501
683,5505
684,5512
685,5512
686,5521
687,5544
688,5557
689,5675
690,5688
691,5809
692,5842
693,5930
694,5853
695,5857
696,5858
697,5859
698,5861
699,5868
700,5876
701,5879
702,5889
703,5889
704,5891
705,5892
706,5892
707,5898
708,5902
709,5902
710,5904
711,5907
712,5907
713,5908
714,5909
715,5910
716,5910
717,5911
718,5911
719,5912
720,5914
721,5914
722,5916
723,5918
724,5918
725,5923
726,5923
727,5923
728,5924
729,5926
730,5929
731,5930
732,5932
733,5932
734,5933
735,5934
736,5936
737,5936
738,5937
739,5937
740,5938
741,5938
742,5938
743,5941
744,5945
745,5948
746,5949
747,5949
748,5952
749,5952
750,5956
751,5959
752,5962
753,5968
754,5968
755,5975
756,5980
757,6025
758,6027
759,6048
760,6051
761,6060
762,6060
763,6068
764,6069
765,6082
766,6085
767,6091
768,6096
769,6096
770,6144
771,6154
772,6178
773,6190
774,6191
775,6200
776,6207
777,6215
778,6240
779,6240
780,6241
781,6244
782,6257
783,6261
